,title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,date
102,bloom,beach house,8.0,2012-05-14,9.1,1.0,lindsay zoladz,2012-05-14,0AL7olZ75pi55q9p1eHaD8,363293.0,37.2,0.3707,0.140705,0.60710715,0.129897712,0.18758999999999998,-6.613200000000001,0.03229,1337040000.0
103,blue,iamamiwhoami,6.0,2014-11-16,6.1,0.0,sasha geffen,2014-11-17,0mECQjDNmBl1vThYWBQX5D,309748.1,35.0,0.4694,0.044982,0.6781,0.11695470000000001,0.20017999999999997,-7.446599999999999,0.04052,1415577600.0
104,blue slide park,mac miller,5.0,2011-11-18,1.0,0.0,jordan sargent,2011-12-08,6VhDYmsjHqRxKXd0z7hmXI,173252.6875,53.0,0.540375,0.2483989375,0.7263125,0.030062636875,0.1802125,-7.4455625,0.19068125,1320710400.0
105,blue suicide,coma cinema,7.0,2011-05-27,7.2,0.0,zach kelly,2011-05-25,5z2CoCLOZfFwqbNzfYCCyB,143455.33333333334,30.733333333333334,0.5454,0.06329593333333333,0.5492666666666667,0.3086715933333333,0.18953333333333333,-6.021133333333334,0.031059999999999997,1300147200.0
106,blunderbuss,jack white,6.0,2012-04-24,7.8,0.0,ryan dombal,2012-04-23,6eSJ0lu0uwtiqXkP7Qrrno,193392.6923076923,43.07692307692308,0.45253846153846156,0.17265206923076923,0.6786923076923077,0.08947579769230771,0.16416923076923076,-10.749384615384615,0.06876923076923078,1334880000.0
107,body music,alunageorge,7.0,2013-08-02,7.6,0.0,carrie battan,2013-07-29,22MbdINYz4lQ1Y087qG7YO,216200.7857142857,18.571428571428573,0.6875714285714285,0.24850714285714284,0.6938571428571428,0.017318345714285716,0.14700714285714286,-5.846642857142856,0.07760714285714286,1356998400.0
108,book burner,pig destroyer,6.0,2012-10-24,8.0,0.0,jess harvell,2012-10-22,604JFtgeDXfwIRVqZtaCZg,100588.36842105263,19.42105263157895,0.323578947368421,8.565263157894737e-06,0.9812105263157895,0.7691578947368422,0.13354736842105264,-5.6774736842105265,0.17589473684210527,1350864000.0
109,born in the echoes,the chemical brothers,7.0,2015-07-21,7.8,0.0,ryan dombal,2015-07-15,1q0jQYnlRLdaEreh2eagTy,306558.0625,11.0625,0.62625,0.11540175,0.7565625,0.4875354875,0.1821875,-7.424125,0.05463125,1437091200.0
110,born sinner,j. cole,5.0,2013-06-25,6.0,0.0,corban goble,2013-06-21,6FhFyGMPDbGjXXxXukKcnq,223442.125,18.375,0.620625,0.33958125,0.678625,0.0054554575,0.2806875,-7.8928125,0.25808125,1371513600.0
111,bottomless pit,death grips,9.0,2016-05-09,8.1,0.0,zoe camp,2016-05-12,4dIPUQHheyH9e6ioplvNT2,181524.38461538462,45.07692307692308,0.4726153846153846,0.034946461538461544,0.9304615384615385,0.00010368923076923077,0.17425384615384615,-4.396,0.2837230769230769,1462492800.0
112,boy,carla bozulich,8.0,2014-04-21,7.6,0.0,matthew murphy,2014-03-26,1ycMsBf4UtuXp8pZmGVoVn,253679.3,2.4,0.3644,0.5119199999999999,0.4845,0.20780300000000002,0.22126,-10.2942,0.048519999999999994,1393891200.0
113,breakthrough,the gaslamp killer,8.0,2012-09-25,7.7,0.0,nate patrin,2012-09-19,0C6Axf37EzoQtUFEldhc6n,165359.0,20.294117647058822,0.4626470588235294,0.21510819411764706,0.7661764705882353,0.500935294117647,0.30062941176470587,-7.895823529411765,0.15507058823529413,1347926400.0
114,broke with expensive taste,azealia banks,5.0,2014-11-11,8.0,0.0,craig jenkins,2014-11-11,6ptPMZzScoFqSVfzph6m9B,225971.25,46.5,0.6995625,0.03053425,0.7990625,0.046028823749999996,0.200825,-6.6283125,0.13955,1415318400.0
115,brothers,the black keys,7.0,2010-05-18,7.7,0.0,larry fitzmaurice,2010-05-19,7qE6RXYyz5kj5Tll7mJU0v,222389.93333333332,50.13333333333333,0.5436,0.2581273333333333,0.6275333333333334,0.07723880799999999,0.18960666666666667,-7.478066666666666,0.05208666666666666,1274140800.0
116,built on glass,chet faker,3.0,2014-04-22,7.3,0.0,jake cleland,2014-04-15,2FbRuA1BINXCgNRaHmKbUS,257504.91666666666,13.166666666666666,0.5573333333333333,0.4436,0.34861666666666663,0.11515766666666667,0.14875000000000002,-13.765583333333332,0.09276666666666666,1397520000.0
117,burst apart,the antlers,4.0,2011-05-04,8.2,1.0,ian cohen,2011-05-12,72TZ7r8KGemXg95hq6zyPc,246959.7,25.4,0.41150000000000003,0.50369,0.5104,0.43143000000000004,0.12308,-10.3804,0.039150000000000004,1305504000.0
118,bush,snoop dogg,5.0,2015-05-15,6.5,0.0,julian kimble,2015-05-13,6VCjQZqZ0lhp9wBby3Djfh,247906.3,17.5,0.7602,0.122945,0.5961000000000001,0.066438615,0.12778,-7.638800000000001,0.07833999999999999,1431302400.0
119,business casual,chromeo,9.0,2010-09-15,6.9,0.0,larry fitzmaurice,2010-09-22,0K46GsiLoxvZRfDbhqlUlk,237839.7,22.5,0.7548,0.0237026,0.7685000000000001,0.04266187,0.18323,-5.7015,0.04573,1284940800.0
120,camp,childish gambino,2.0,2011-11-08,1.6,0.0,ian cohen,2011-12-02,32KdoFFhgjCLdU0DWL71tx,259005.84615384616,57.23076923076923,0.5376153846153847,0.14365153846153847,0.6550769230769231,6.073846153846153e-05,0.15546153846153846,-7.324461538461539,0.18565384615384614,1321315200.0
