,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
92,All I Ask,25,Adele,2015-11-20,271800,77,0.591,0.889,0.591,0.28,0.0,0.124,-5.494,0.0283,141.916,4
93,Sweetest Devotion,25,Adele,2015-11-20,251701,63,0.416,0.251,0.416,0.752,0.0,0.125,-5.471,0.0396,155.89,3
94,The Odyssey,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,363360,44,0.654,0.0404,0.654,0.64,3.2e-05,0.117,-11.063,0.377,139.914,4
95,Bounce,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,241520,60,0.628,0.0113,0.628,0.618,0.0,0.109,-8.4,0.313,110.007,4
96,R.I.P.C.D.,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,245280,48,0.549,0.0428,0.549,0.73,0.0,0.142,-8.938,0.58,157.164,4
97,A Spike Lee Joint (feat. Anthony Flammia),3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,255213,51,0.785,0.139,0.785,0.511,0.000214,0.657,-12.335,0.211,105.639,4
98,Fly Away,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,149746,45,0.707,0.0399,0.707,0.256,0.156,0.108,-13.872,0.0397,89.99,4
99,Ascension,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,301026,46,0.37,0.43,0.37,0.534,5.25e-05,0.105,-12.224,0.0746,59.672,4
100,Smoke Break (Interlude),3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,124493,50,0.709,0.673,0.709,0.324,3.79e-06,0.109,-15.954,0.247,99.974,4
101,Trade-Off,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,249360,51,0.859,0.0353,0.859,0.445,0.0,0.16,-9.161,0.363,140.045,4
102,Good Grief (feat. Diamante),3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,271266,45,0.734,0.109,0.734,0.389,0.000515,0.0947,-9.999,0.06,135.151,4
103,"New Phone, Who Dis?",3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,331346,56,0.843,0.278,0.843,0.506,6.34e-06,0.129,-11.312,0.285,122.448,4
104,This Is It,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,343346,53,0.594,0.136,0.594,0.416,0.0,0.174,-10.474,0.325,139.935,4
105,Your Favorite Rap Song,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,779560,47,0.483,0.898,0.483,0.615,5.75e-05,0.102,-10.245,0.454,78.403,4
106,The Battlefield,36 Seasons,Ghostface Killah,2014-12-09,226580,26,0.627,0.0187,0.627,0.741,0.0,0.57,-4.69,0.136,86.04,4
107,Love Don't Live Here No More,36 Seasons,Ghostface Killah,2014-12-09,228117,36,0.559,0.478,0.559,0.751,0.0,0.206,-5.864,0.395,85.481,4
108,Here I Go Again,36 Seasons,Ghostface Killah,2014-12-09,208149,23,0.769,0.0489,0.769,0.611,1.76e-05,0.325,-7.151,0.176,93.468,4
109,Loyalty,36 Seasons,Ghostface Killah,2014-12-09,117575,17,0.753,0.105,0.753,0.689,0.0,0.12,-5.385,0.293,90.107,4
110,It's A Thin Line Between Love and Hate,36 Seasons,Ghostface Killah,2014-12-09,239142,25,0.514,0.351,0.514,0.586,4.32e-06,0.483,-8.987,0.0562,119.497,4
111,The Dogs of War,36 Seasons,Ghostface Killah,2014-12-09,228754,18,0.515,0.00813,0.515,0.787,1.13e-06,0.248,-6.235,0.271,93.353,4
112,Emergency Procedure,36 Seasons,Ghostface Killah,2014-12-09,162400,17,0.706,0.0178,0.706,0.803,0.0,0.678,-5.4,0.211,98.367,4
113,Double Cross,36 Seasons,Ghostface Killah,2014-12-09,140605,20,0.718,0.375,0.718,0.729,0.0,0.855,-6.304,0.33,93.089,4
114,Bamboo's Lament,36 Seasons,Ghostface Killah,2014-12-09,117510,19,0.689,0.302,0.689,0.387,4.83e-05,0.119,-9.779,0.0291,81.95,4
115,Pieces to the Puzzle,36 Seasons,Ghostface Killah,2014-12-09,155219,15,0.443,0.108,0.443,0.668,0.0,0.144,-6.494,0.364,171.199,4
