,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
4696,Necessary Evil,Multi-Love,Unknown Mortal Orchestra,2015-05-26,317800,60,0.828,0.045,0.828,0.724,0.0606,0.132,-7.217,0.113,96.2,4
4697,Puzzles,Multi-Love,Unknown Mortal Orchestra,2015-05-26,422706,36,0.414,0.107,0.414,0.781,0.0353,0.0716,-6.185,0.166,204.4,4
4698,Web,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,299186,43,0.451,0.000299,0.451,0.897,0.781,0.059,-7.452,0.0634,130.765,4
4699,Withered Hand,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,210440,38,0.118,0.000295,0.118,0.861,0.919,0.112,-7.829,0.0661,179.734,4
4700,Poor Queen,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,140666,33,0.32,1.5e-05,0.32,0.927,0.544,0.113,-6.137,0.0539,152.856,4
4701,Turned out Light,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,125360,33,0.309,6.83e-05,0.309,0.885,0.14,0.321,-6.66,0.0337,143.006,4
4702,Lupine Ossuary,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,258160,32,0.207,3.4e-06,0.207,0.906,0.801,0.119,-6.164,0.0432,172.938,4
4703,Sticky Hulks,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,410600,47,0.363,0.0595,0.363,0.584,0.677,0.0991,-7.635,0.0288,139.23,4
4704,Holy Smoke,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,160520,34,0.392,0.0322,0.392,0.721,0.822,0.0909,-8.885,0.0285,99.103,4
4705,Rogue Planet,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,116893,32,0.3,1.91e-05,0.3,0.96,0.838,0.326,-6.231,0.0616,93.456,4
4706,Palace Doctor,Mutilator Defeated at Last,Thee Oh Sees,2015-05-26,280746,37,0.446,0.104,0.446,0.775,0.917,0.113,-8.999,0.0297,96.28,4
4707,Dark Fantasy,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,280786,72,0.599,0.274,0.599,0.587,0.0,0.167,-5.919,0.0423,87.998,4
4708,Gorgeous,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,357653,73,0.598,0.0207,0.598,0.713,0.000175,0.431,-3.625,0.0326,91.964,4
4709,POWER,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,292093,81,0.542,0.0161,0.542,0.914,0.0,0.744,-4.747,0.113,153.993,4
4710,All Of The Lights (Interlude),My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,62253,63,0.296,0.902,0.296,0.0792,0.591,0.128,-16.569,0.0389,110.95,3
4711,All Of The Lights,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,299613,78,0.531,0.0796,0.531,0.803,1.71e-05,0.176,-3.284,0.0717,142.113,4
4712,Monster,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,378893,74,0.628,0.00244,0.628,0.692,0.0129,0.668,-5.64,0.202,124.887,5
4713,So Appalled,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,397666,64,0.64,0.255,0.64,0.754,0.0,0.63,-5.873,0.283,87.15,4
4714,Devil In A New Dress,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,351946,79,0.435,0.0175,0.435,0.76,0.0,0.158,-4.935,0.0721,80.082,4
4715,Runaway,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,547733,79,0.374,0.219,0.374,0.568,0.00219,0.513,-3.825,0.109,84.733,4
4716,Hell Of A Life,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,327786,65,0.449,0.00142,0.449,0.813,0.000172,0.106,-5.478,0.129,177.962,4
4717,Blame Game,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,469866,64,0.419,0.306,0.419,0.581,6.3e-05,0.11,-5.964,0.0688,80.305,1
4718,Lost In The World,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,256586,66,0.608,0.115,0.608,0.746,0.0087,0.427,-5.249,0.184,117.072,4
4719,Who Will Survive In America,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,98200,58,0.677,0.228,0.677,0.842,0.000684,0.856,-6.111,0.36,116.166,4
4720,King Push,My Name Is My Name,Pusha T,2014-01-01,172280,6,0.488,0.0387,0.488,0.809,0.00105,0.283,-5.311,0.23,83.593,3
4721,Numbers On The Boards,My Name Is My Name,Pusha T,2014-01-01,163573,14,0.806,0.162,0.806,0.555,0.0,0.089,-5.686,0.113,87.885,4
4722,Sweet Serenade,My Name Is My Name,Pusha T,2014-01-01,219320,17,0.56,0.0139,0.56,0.723,0.00506,0.376,-6.74,0.402,97.878,5
4723,Hold On,My Name Is My Name,Pusha T,2014-01-01,285586,8,0.494,0.113,0.494,0.687,0.0,0.163,-7.403,0.208,79.429,4
4724,Suicide,My Name Is My Name,Pusha T,2014-01-01,222013,3,0.82,0.0211,0.82,0.615,0.0,0.0741,-8.122,0.422,159.988,4
4725,40 Acres,My Name Is My Name,Pusha T,2014-01-01,281693,3,0.469,0.651,0.469,0.549,0.0,0.101,-8.476,0.535,80.409,4
4726,No Regrets,My Name Is My Name,Pusha T,2014-01-01,288626,12,0.574,0.00328,0.574,0.847,0.0,0.181,-3.22,0.265,131.864,4
4727,Let Me Love You,My Name Is My Name,Pusha T,2014-01-01,223760,3,0.574,0.241,0.574,0.652,0.0,0.0963,-5.617,0.313,80.219,4
4728,Who I Am,My Name Is My Name,Pusha T,2014-01-01,221560,3,0.58,0.00889,0.58,0.68,0.0,0.373,-4.667,0.307,118.085,4
4729,Nosetalgia,My Name Is My Name,Pusha T,2014-01-01,216306,14,0.457,0.025,0.457,0.785,0.0,0.139,-3.991,0.332,78.484,4
4730,Pain,My Name Is My Name,Pusha T,2014-01-01,250213,8,0.568,0.103,0.568,0.827,7.8e-06,0.174,-5.52,0.0581,92.425,4
4731,S.N.I.T.C.H.,My Name Is My Name,Pusha T,2014-01-01,243773,4,0.719,0.0136,0.719,0.636,0.000107,0.133,-6.53,0.249,79.981,4
4732,Intern,MY WOMAN,Angel Olsen,2016-09-02,166720,41,0.17,0.152,0.17,0.185,0.0,0.0754,-9.263,0.035,86.706,4
4733,Never Be Mine,MY WOMAN,Angel Olsen,2016-09-02,221400,48,0.526,0.196,0.526,0.622,1.32e-06,0.31,-7.113,0.0339,118.514,4
4734,Shut Up Kiss Me,MY WOMAN,Angel Olsen,2016-09-02,202200,62,0.375,0.0552,0.375,0.63,0.0,0.107,-5.131,0.0453,115.728,4
4735,Give It Up,MY WOMAN,Angel Olsen,2016-09-02,176226,41,0.483,0.0024,0.483,0.618,1.11e-06,0.0944,-6.651,0.033,121.191,4
4736,Not Gonna Kill You,MY WOMAN,Angel Olsen,2016-09-02,297160,36,0.406,0.0206,0.406,0.719,0.000126,0.0949,-5.473,0.03,121.684,4
4737,Heart Shaped Face,MY WOMAN,Angel Olsen,2016-09-02,332906,41,0.449,0.359,0.449,0.435,0.00324,0.126,-9.049,0.0306,134.813,4
4738,Sister,MY WOMAN,Angel Olsen,2016-09-02,465973,44,0.342,0.0784,0.342,0.447,0.00382,0.14,-9.003,0.0255,101.323,4
4739,Those Were the Days,MY WOMAN,Angel Olsen,2016-09-02,259506,39,0.387,0.657,0.387,0.332,0.00242,0.0795,-11.996,0.0324,142.404,4
4740,Woman,MY WOMAN,Angel Olsen,2016-09-02,457013,39,0.298,0.387,0.298,0.337,0.000741,0.113,-10.576,0.0306,127.247,4
4741,Pops,MY WOMAN,Angel Olsen,2016-09-02,281320,34,0.364,0.932,0.364,0.147,0.000108,0.11,-10.497,0.0295,100.521,4
4742,Mirror,Nabuma Rubberband,Little Dragon,2014-05-12,205343,22,0.606,0.538,0.606,0.359,0.099,0.106,-13.037,0.0747,78.902,4
4743,Klapp Klapp,Nabuma Rubberband,Little Dragon,2014-05-12,217119,38,0.658,0.0688,0.658,0.86,0.000167,0.457,-5.021,0.0686,149.999,4
4744,Pretty Girls,Nabuma Rubberband,Little Dragon,2014-05-12,223460,41,0.702,0.288,0.702,0.555,0.49,0.0965,-9.987,0.0284,101.007,4
4745,Underbart,Nabuma Rubberband,Little Dragon,2014-05-12,245089,25,0.637,0.0583,0.637,0.702,0.0142,0.38,-7.741,0.0313,125.025,4
4746,Cat Rider,Nabuma Rubberband,Little Dragon,2014-05-12,273189,34,0.677,0.766,0.677,0.373,0.0227,0.108,-10.554,0.0357,109.974,4
4747,Paris,Nabuma Rubberband,Little Dragon,2014-05-12,204040,35,0.728,0.086,0.728,0.718,0.0461,0.0921,-6.934,0.0593,152.953,4
4748,Lurad,Nabuma Rubberband,Little Dragon,2014-05-12,8534,0,0.0,0.116,0.0,0.994,0.0946,0.36,-4.927,0.0,0.0,0
4749,Nabuma Rubberband,Nabuma Rubberband,Little Dragon,2014-05-12,195546,23,0.645,0.374,0.645,0.539,0.00465,0.143,-8.893,0.0387,156.921,3
4750,Only One,Nabuma Rubberband,Little Dragon,2014-05-12,246949,22,0.513,0.412,0.513,0.43,0.0564,0.334,-10.816,0.0328,124.992,4
4751,Killing Me,Nabuma Rubberband,Little Dragon,2014-05-12,224628,24,0.404,0.029,0.404,0.68,0.0536,0.112,-5.708,0.0856,154.728,3
4752,Pink Cloud,Nabuma Rubberband,Little Dragon,2014-05-12,286017,22,0.516,0.0584,0.516,0.432,0.199,0.0533,-11.174,0.0364,91.971,4
4753,Let Go,Nabuma Rubberband,Little Dragon,2014-05-12,244863,23,0.311,0.038,0.311,0.586,0.00462,0.0976,-9.779,0.0348,166.011,4
4754,Lemonade,Native Speaker,Braids,2011-01-18,406360,25,0.461,0.553,0.461,0.637,0.921,0.231,-9.541,0.037,151.05,4
4755,Plath Heart,Native Speaker,Braids,2011-01-18,265853,15,0.668,0.305,0.668,0.717,0.0519,0.159,-7.742,0.0315,150.053,4
4756,Glass Deers,Native Speaker,Braids,2011-01-18,489626,12,0.449,0.704,0.449,0.379,0.867,0.11,-8.836,0.029,100.951,4
4757,Native Speaker,Native Speaker,Braids,2011-01-18,504040,12,0.227,0.966,0.227,0.365,0.103,0.0887,-9.218,0.0344,131.391,4
4758,Lammicken,Native Speaker,Braids,2011-01-18,275613,16,0.256,0.303,0.256,0.402,0.644,0.101,-8.383,0.0309,98.131,4
4759,Same Mum,Native Speaker,Braids,2011-01-18,421666,10,0.506,0.492,0.506,0.552,0.559,0.107,-6.664,0.0308,170.022,3
4760,Little Hand,Native Speaker,Braids,2011-01-18,267173,11,0.34,0.75,0.34,0.487,0.921,0.1,-13.49,0.161,79.518,4
4761,Plath Heart (Morgan Greenwood Remix),Native Speaker,Braids,2011-01-18,345600,6,0.685,0.0834,0.685,0.765,0.74,0.264,-10.423,0.0768,150.049,4
4762,Glass Deers (Teen Daze Remix),Native Speaker,Braids,2011-01-18,394455,10,0.559,0.161,0.559,0.936,0.415,0.105,-4.379,0.0469,101.02,4
4763,Dendrofil for Yggdrasil,Nattesferd,Kvelertak,2016-05-13,340080,24,0.104,9.91e-06,0.104,0.964,0.57,0.525,-5.325,0.0864,158.191,4
4764,1985,Nattesferd,Kvelertak,2016-05-13,333000,32,0.521,0.00334,0.521,0.836,0.766,0.233,-7.051,0.044,131.716,4
4765,Nattesferd,Nattesferd,Kvelertak,2016-05-13,303200,30,0.106,1.83e-05,0.106,0.977,0.108,0.495,-5.399,0.0691,174.806,4
4766,Svartmesse,Nattesferd,Kvelertak,2016-05-13,214506,24,0.421,0.000263,0.421,0.876,0.414,0.315,-6.739,0.0471,125.597,3
4767,Bronsegud,Nattesferd,Kvelertak,2016-05-13,177506,22,0.217,6.11e-06,0.217,0.975,0.384,0.371,-5.444,0.103,185.284,4
4768,Ondskapens Galakse,Nattesferd,Kvelertak,2016-05-13,333506,22,0.363,8.93e-05,0.363,0.854,0.8,0.262,-7.445,0.0397,116.628,4
4769,Berserkr,Nattesferd,Kvelertak,2016-05-13,294120,24,0.186,8.82e-05,0.186,0.973,0.911,0.746,-6.186,0.0922,149.689,4
4770,Heksebrann,Nattesferd,Kvelertak,2016-05-13,545266,25,0.192,3.92e-06,0.192,0.89,0.862,0.172,-6.866,0.0541,135.34,4
4771,Nekrodamus,Nattesferd,Kvelertak,2016-05-13,287973,23,0.268,0.00356,0.268,0.834,0.74,0.164,-7.068,0.0399,155.301,4
4772,Shook,Natural History,Dope Body,2012-05-22,290480,11,0.279,0.00278,0.279,0.591,0.312,0.0821,-8.295,0.0363,114.701,4
4773,Road Dog,Natural History,Dope Body,2012-05-22,309240,15,0.456,0.0161,0.456,0.766,0.00371,0.159,-6.211,0.154,163.092,4
4774,Beat,Natural History,Dope Body,2012-05-22,153200,10,0.396,0.0017,0.396,0.755,0.000664,0.0657,-5.349,0.0588,139.086,4
4775,Twice the Life,Natural History,Dope Body,2012-05-22,256373,10,0.566,0.0225,0.566,0.907,0.0155,0.35,-6.583,0.0462,139.276,4
4776,Powder,Natural History,Dope Body,2012-05-22,260560,10,0.526,0.00307,0.526,0.864,0.0257,0.111,-5.606,0.0935,78.54,4
4777,Out of My Mind,Natural History,Dope Body,2012-05-22,259626,9,0.482,0.000978,0.482,0.932,0.149,0.228,-5.852,0.123,135.235,4
4778,High Way,Natural History,Dope Body,2012-05-22,147973,8,0.433,0.000144,0.433,0.97,0.00226,0.431,-4.115,0.144,83.813,4
4779,Weird Mirror,Natural History,Dope Body,2012-05-22,253480,8,0.248,0.000221,0.248,0.963,0.569,0.355,-5.142,0.195,171.148,4
4780,Lazy Slave,Natural History,Dope Body,2012-05-22,251226,7,0.289,0.000301,0.289,0.827,0.00304,0.0682,-5.187,0.114,144.814,4
4781,Spirit in Front of Me,Nature Noir,Crystal Stilts,2013-09-17,253086,14,0.246,0.000146,0.246,0.834,0.795,0.191,-6.724,0.0525,182.129,4
4782,Star Crawl,Nature Noir,Crystal Stilts,2013-09-17,226485,27,0.301,0.0137,0.301,0.773,0.906,0.123,-6.577,0.0451,81.812,4
4783,Future Folklore,Nature Noir,Crystal Stilts,2013-09-17,154780,19,0.471,0.016,0.471,0.833,0.773,0.0605,-5.558,0.0334,149.046,4
4784,Sticks and Stones,Nature Noir,Crystal Stilts,2013-09-17,155639,13,0.463,0.0197,0.463,0.697,0.77,0.165,-7.886,0.0344,130.083,4
4785,Memory Room,Nature Noir,Crystal Stilts,2013-09-17,217418,11,0.569,0.0646,0.569,0.765,0.778,0.504,-7.511,0.0277,118.041,4
4786,Worlds Gone Weird,Nature Noir,Crystal Stilts,2013-09-17,169231,11,0.467,1.54e-05,0.467,0.704,0.872,0.108,-5.906,0.0308,118.267,4
4787,Darken the Door,Nature Noir,Crystal Stilts,2013-09-17,231817,24,0.249,0.0224,0.249,0.71,0.213,0.219,-8.221,0.0413,153.622,4
4788,Electrons Rising,Nature Noir,Crystal Stilts,2013-09-17,183354,8,0.362,0.000195,0.362,0.897,0.865,0.112,-5.688,0.074,101.255,3
4789,Nature Noir,Nature Noir,Crystal Stilts,2013-09-17,168196,18,0.603,0.0812,0.603,0.763,0.949,0.185,-7.525,0.0269,113.728,4
4790,Phases Forever,Nature Noir,Crystal Stilts,2013-09-17,258665,8,0.445,0.759,0.445,0.465,0.769,0.108,-9.82,0.0363,50.99,4
4791,Electrons Rising (Reprise) [Bonus Track],Nature Noir,Crystal Stilts,2013-09-17,172835,7,0.571,0.355,0.571,0.582,0.864,0.0904,-8.618,0.0348,118.92,4
4792,Thug Handles,Nehru Jackets,Heems,2012-01-17,92053,9,0.527,0.478,0.527,0.713,5.73e-05,0.373,-6.916,0.456,170.36,4
4793,Bad Bad Bad,Nehru Jackets,Heems,2012-01-17,190533,7,0.282,0.00759,0.282,0.833,0.0,0.261,-4.914,0.221,154.136,4
4794,Alien Gonzalez,Nehru Jackets,Heems,2012-01-17,179800,9,0.405,0.0101,0.405,0.872,0.0,0.325,-3.949,0.226,81.34,4
4795,Nehru Jackets Interlude,Nehru Jackets,Heems,2012-01-17,22120,0,0.701,0.878,0.701,0.783,0.0,0.106,-13.221,0.613,118.928,1
4796,Choothay Lare,Nehru Jackets,Heems,2012-01-17,185200,6,0.572,0.0125,0.572,0.584,0.00159,0.145,-7.43,0.101,84.836,4
4797,SWATE,Nehru Jackets,Heems,2012-01-17,369293,11,0.27,0.0265,0.27,0.727,0.000953,0.217,-6.924,0.224,78.323,4
4798,NYC COPS,Nehru Jackets,Heems,2012-01-17,237946,9,0.215,0.0667,0.215,0.952,0.0,0.421,-4.421,0.27,80.635,4
4799,You Have to Ride the Wave,Nehru Jackets,Heems,2012-01-17,294813,12,0.49,0.00471,0.49,0.792,0.0,0.162,-6.425,0.195,91.956,4
4800,Mike Finito Raps,Nehru Jackets,Heems,2012-01-17,66507,6,0.322,0.00339,0.322,0.948,0.0,0.336,-4.636,0.362,80.079,4
4801,Womyn,Nehru Jackets,Heems,2012-01-17,201667,16,0.439,0.0206,0.439,0.695,0.0,0.157,-5.652,0.323,172.027,4
4802,Bangles,Nehru Jackets,Heems,2012-01-17,234387,8,0.337,0.122,0.337,0.76,0.00171,0.115,-5.73,0.249,80.35,4
4803,PSA,Nehru Jackets,Heems,2012-01-17,34640,4,0.709,0.915,0.709,0.735,0.000148,0.139,-13.986,0.811,80.19,4
4804,It's the Drug I'm Needing,Nehru Jackets,Heems,2012-01-17,225120,6,0.751,0.12,0.751,0.845,0.0,0.388,-5.557,0.181,124.882,4
4805,Coca Cola Freestyle,Nehru Jackets,Heems,2012-01-17,109520,13,0.494,0.00916,0.494,0.952,0.00227,0.387,-4.198,0.265,80.096,4
4806,Chakklo,Nehru Jackets,Heems,2012-01-17,289066,6,0.718,0.0941,0.718,0.795,0.0,0.125,-7.587,0.299,92.75,4
4807,Jason Bourne,Nehru Jackets,Heems,2012-01-17,115746,8,0.514,0.00713,0.514,0.927,0.000353,0.297,-4.278,0.317,168.086,4
4808,Desi Shoegaze Taiko,Nehru Jackets,Heems,2012-01-17,188867,7,0.614,0.0504,0.614,0.98,5.01e-06,0.123,-4.658,0.112,108.018,4
4809,I Want It Bad (Liquid Heart),Nehru Jackets,Heems,2012-01-17,176040,7,0.459,0.00327,0.459,0.952,0.0,0.149,-5.478,0.0949,91.997,4
4810,Juveniles Detained At Guantanamo Bay,Nehru Jackets,Heems,2012-01-17,119293,5,0.275,0.196,0.275,0.905,0.0,0.17,-5.411,0.209,128.556,3
4811,Kate Boosh,Nehru Jackets,Heems,2012-01-17,190840,9,0.285,0.00871,0.285,0.862,0.0,0.104,-4.437,0.182,171.992,4
4812,What I Do I Do When I'm Alone,Nehru Jackets,Heems,2012-01-17,167000,5,0.274,0.119,0.274,0.803,0.0532,0.235,-6.415,0.0961,92.381,4
4813,Computers,Nehru Jackets,Heems,2012-01-17,116293,9,0.317,0.00338,0.317,0.841,0.227,0.267,-6.437,0.45,78.859,4
4814,Yo What's Good New York,Nehru Jackets,Heems,2012-01-17,222893,7,0.397,0.0382,0.397,0.842,0.0,0.26,-5.618,0.144,83.854,4
4815,Womyn 2,Nehru Jackets,Heems,2012-01-17,206546,8,0.301,0.0268,0.301,0.906,0.0,0.35,-4.071,0.335,172.369,4
4816,Tu Nach,Nehru Jackets,Heems,2012-01-17,191346,5,0.469,0.284,0.469,0.696,0.123,0.127,-11.47,0.456,136.181,5
4817,Introducing The Icon,Neon Icon,Riff Raff,2014-06-24,246176,36,0.616,0.0874,0.616,0.968,0.0,0.285,-1.972,0.341,203.865,4
4818,Kokayne,Neon Icon,Riff Raff,2014-06-24,182797,21,0.522,0.0424,0.522,0.985,0.0,0.294,-3.027,0.139,192.945,4
4819,Wetter Than Tsunami,Neon Icon,Riff Raff,2014-06-24,195642,24,0.9,0.00249,0.9,0.622,0.0,0.093,-3.283,0.0595,140.038,4
4820,Jody 3 Moons (Skit),Neon Icon,Riff Raff,2014-06-24,87500,14,0.423,0.595,0.423,0.355,0.00468,0.115,-10.245,0.0459,55.853,4
4821,Versace Python,Neon Icon,Riff Raff,2014-06-24,183000,25,0.624,0.00156,0.624,0.792,1.54e-06,0.0772,-5.33,0.0473,139.94,4
4822,Lava Glaciers (feat. Childish Gambino),Neon Icon,Riff Raff,2014-06-24,232409,37,0.425,0.691,0.425,0.929,1.37e-06,0.313,-6.085,0.402,175.586,4
4823,Tip Toe Wing In My Jawwwdinz,Neon Icon,Riff Raff,2014-06-24,244000,42,0.914,0.235,0.914,0.408,0.0,0.134,-7.56,0.0808,119.964,4
4824,Maybe You Love Me (feat. Mike Posner),Neon Icon,Riff Raff,2014-06-24,177142,21,0.604,0.116,0.604,0.903,0.0,0.361,-2.666,0.138,167.919,4
4825,Aquaberry Dolphin (feat. Mac Miller),Neon Icon,Riff Raff,2014-06-24,134634,37,0.802,0.00171,0.802,0.623,4.79e-06,0.626,-6.487,0.115,164.182,4
4826,The Bloomingdales At Windshire Palace (skit),Neon Icon,Riff Raff,2014-06-24,103750,13,0.478,0.798,0.478,0.576,0.0,0.195,-6.281,0.182,143.487,3
4827,Time,Neon Icon,Riff Raff,2014-06-24,219230,22,0.833,0.084,0.833,0.744,0.0158,0.108,-5.729,0.0526,103.999,4
4828,How To Be The Man,Neon Icon,Riff Raff,2014-06-24,173076,30,0.921,0.0817,0.921,0.771,0.0,0.099,-5.344,0.146,91.0,4
4829,Cool It Down (feat. Amber Coffman),Neon Icon,Riff Raff,2014-06-24,201063,22,0.793,0.142,0.793,0.886,3.03e-06,0.136,-3.898,0.151,93.507,4
4830,VIP Pass To My Heart,Neon Icon,Riff Raff,2014-06-24,214000,21,0.754,0.0511,0.754,0.758,0.679,0.0811,-6.136,0.0289,119.996,4
4831,How To Be The Man (feat. Slim Thug & Paul Wall) - Houston Remix,Neon Icon,Riff Raff,2014-06-24,258461,41,0.887,0.0626,0.887,0.777,2.77e-06,0.193,-5.05,0.0888,91.016,4
4832,Christmas Card,Never Hungover Again,Joyce Manor,2014-07-22,125400,44,0.508,0.00447,0.508,0.814,1.39e-06,0.359,-2.014,0.0431,119.916,4
4833,Falling in Love Again,Never Hungover Again,Joyce Manor,2014-07-22,148120,52,0.335,0.00175,0.335,0.936,4.81e-06,0.14,-2.056,0.0797,177.422,4
4834,End of the Summer,Never Hungover Again,Joyce Manor,2014-07-22,109560,40,0.205,0.00362,0.205,0.947,0.0,0.327,-1.837,0.0981,203.53,4
4835,Victoria,Never Hungover Again,Joyce Manor,2014-07-22,99666,39,0.213,8.16e-05,0.213,0.991,9.01e-05,0.138,-0.887,0.113,187.973,4
4836,Schley,Never Hungover Again,Joyce Manor,2014-07-22,127360,40,0.454,0.00302,0.454,0.89,0.000122,0.223,-1.438,0.0698,118.024,4
4837,Heart Tattoo,Never Hungover Again,Joyce Manor,2014-07-22,110973,48,0.474,0.0017,0.474,0.992,0.0,0.258,-0.902,0.0912,115.69,4
4838,The Jerk,Never Hungover Again,Joyce Manor,2014-07-22,106146,39,0.28,0.00185,0.28,0.993,0.0,0.332,-1.475,0.283,143.049,4
4839,In the Army Now,Never Hungover Again,Joyce Manor,2014-07-22,141333,35,0.333,4.13e-05,0.333,0.989,0.000119,0.325,-2.554,0.0604,103.013,4
4840,Catalina Fight Song,Never Hungover Again,Joyce Manor,2014-07-22,65000,51,0.453,0.00385,0.453,0.964,0.0,0.103,-1.41,0.0968,107.655,4
4841,Heated Swimming Pool,Never Hungover Again,Joyce Manor,2014-07-22,110466,35,0.406,0.00172,0.406,0.969,1.4e-05,0.408,-0.797,0.059,117.787,4
4842,The Sun Roars Into View,Never Were the Way She Was,Colin Stetson,2015-04-28,457093,29,0.19,0.9,0.19,0.679,0.926,0.322,-10.654,0.154,186.098,4
4843,Won't Be a Thing to Become,Never Were the Way She Was,Colin Stetson,2015-04-28,204453,30,0.233,0.87,0.233,0.317,0.943,0.111,-14.791,0.0346,91.42,3
4844,In the Vespers,Never Were the Way She Was,Colin Stetson,2015-04-28,361866,20,0.218,0.993,0.218,0.395,0.946,0.115,-10.914,0.043,205.97,3
4845,And Still They Move,Never Were the Way She Was,Colin Stetson,2015-04-28,176746,30,0.157,0.914,0.157,0.0698,0.971,0.114,-18.378,0.0431,132.684,5
4846,With the Dark Hug of Time,Never Were the Way She Was,Colin Stetson,2015-04-28,393826,22,0.213,0.0511,0.213,0.4,0.851,0.11,-12.799,0.0423,135.168,5
4847,The Rest of Us,Never Were the Way She Was,Colin Stetson,2015-04-28,390506,25,0.379,0.552,0.379,0.844,0.896,0.106,-10.627,0.355,116.096,4
4848,Never Were the Way She Was,Never Were the Way She Was,Colin Stetson,2015-04-28,492813,23,0.17,0.799,0.17,0.409,0.949,0.112,-12.662,0.0518,125.533,4
4849,Flight,Never Were the Way She Was,Colin Stetson,2015-04-28,98193,16,0.168,0.959,0.168,0.014,0.89,0.448,-16.17,0.0803,72.028,4
4850,Brought to the Water,New Bermuda,Deafheaven,2015-10-02,517430,36,0.279,0.000212,0.279,0.943,0.892,0.0926,-5.798,0.153,98.649,4
4851,Luna,New Bermuda,Deafheaven,2015-10-02,614048,34,0.152,2.38e-05,0.152,0.957,0.906,0.384,-4.869,0.162,102.463,4
4852,Baby Blue,New Bermuda,Deafheaven,2015-10-02,606496,34,0.247,0.00965,0.247,0.77,0.886,0.143,-6.67,0.0602,152.726,4
4853,Come Back,New Bermuda,Deafheaven,2015-10-02,556945,31,0.246,0.000372,0.246,0.886,0.897,0.111,-6.652,0.0677,140.527,4
4854,Gifts for the Earth,New Bermuda,Deafheaven,2015-10-02,502566,31,0.218,0.00239,0.218,0.833,0.689,0.0686,-6.214,0.0468,151.759,4
4855,Intro,New Brigade,Iceage,2011-09-05,47720,10,0.341,0.132,0.341,0.497,0.895,0.107,-13.218,0.171,141.936,4
4856,White Rune,New Brigade,Iceage,2011-09-05,161053,19,0.262,0.00026,0.262,0.834,0.628,0.644,-4.061,0.0495,86.452,4
4857,New Brigade,New Brigade,Iceage,2011-09-05,135093,15,0.164,0.000253,0.164,0.884,0.372,0.328,-3.251,0.0818,147.258,4
4858,Remember,New Brigade,Iceage,2011-09-05,133400,14,0.21,0.00235,0.21,0.888,0.773,0.477,-2.637,0.0689,89.667,3
4859,Rotting Heights,New Brigade,Iceage,2011-09-05,99106,12,0.164,0.000872,0.164,0.897,0.263,0.709,-3.596,0.0837,168.765,4
4860,Total Drench,New Brigade,Iceage,2011-09-05,98786,12,0.265,0.0154,0.265,0.833,0.889,0.15,-6.465,0.0737,91.997,4
4861,Broken Bone,New Brigade,Iceage,2011-09-05,149986,14,0.0944,0.0022,0.0944,0.95,0.52,0.4,-2.393,0.135,172.574,4
4862,Collapse,New Brigade,Iceage,2011-09-05,130600,12,0.193,0.000116,0.193,0.931,0.885,0.126,-5.003,0.0819,96.835,4
4863,Eyes,New Brigade,Iceage,2011-09-05,122800,11,0.221,8.46e-05,0.221,0.889,0.225,0.368,-3.941,0.0595,91.225,4
4864,Count Me In,New Brigade,Iceage,2011-09-05,76400,11,0.15,8.53e-06,0.15,0.921,0.783,0.473,-4.302,0.126,103.828,4
4865,Never Return,New Brigade,Iceage,2011-09-05,188320,10,0.243,0.0048,0.243,0.944,0.668,0.285,-3.845,0.0859,83.349,4
4866,You're Blessed,New Brigade,Iceage,2011-09-05,114533,18,0.0923,8.53e-05,0.0923,0.942,0.529,0.189,-3.335,0.105,187.102,4
4867,Awake on foreign shores,New History Warfare Vol. 2: Judges,Colin Stetson,2011-02-22,90266,28,0.153,0.957,0.153,0.00879,0.62,0.281,-16.235,0.0362,82.781,4
4868,Judges,New History Warfare Vol. 2: Judges,Colin Stetson,2011-02-22,313066,30,0.285,0.906,0.285,0.312,0.946,0.116,-16.615,0.0976,105.85,4
