title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id
telling it like it is,marching church,7.0,2016-11-11,6.4,0.0,zoe camp,2016-11-18,0kp2GeJxsQRdQEuMNKjLJi
tempo,olga bell,7.0,2016-06-08,7.9,0.0,philip sherburne,2016-05-30,62V1Yap4N28VwJNnodi2YJ
terminal redux,vektor,8.0,2016-05-11,8.2,0.0,sam sodomsky,2016-05-06,56ZRTTv25E2OO7FLuLokkX
tetsuo & youth,lupe fiasco,7.0,2015-01-23,7.2,0.0,jayson greene,2015-01-22,7F58zK8t8whSFjX5X09d28
thank your lucky stars,beach house,5.0,2015-10-21,8.1,0.0,jayson greene,2015-10-16,2LY64XcNbQ2bSjjsrbODlL
the 2nd law,muse,3.0,2012-10-04,5.5,0.0,ian cohen,2012-10-02,3KuXEGcqLcnEYWnn3OEGy0
the age of adz,sufjan stevens,6.0,2010-10-10,8.4,1.0,ryan dombal,2010-10-12,4kRMCapj9nEyBWnM0kc9OX
the agent intellect,protomartyr,7.0,2015-10-29,8.2,0.0,j. edward keyes,2015-10-07,7wMrFduh4Gyqq3EeeOJL0V
the album about nothing,wale,4.0,2015-05-08,5.4,0.0,claire lobenfeld,2015-04-02,6aCr3UaB8lM9g6TtFB3qwd
the altar,banks,5.0,2016-10-10,5.1,0.0,katherine st. asaph,2016-10-12,2WzQeYsbrDq1UcVZmY8dVR
the ark work,liturgy,7.0,2015-03-26,6.4,0.0,jayson greene,2015-03-26,6GqOWek4cF5UVOEm8q5Vfb
the bravest man in the universe,bobby womack,6.0,2012-06-20,6.2,0.0,ryan dombal,2012-06-14,1d0vqL31qzWAWB8cxyfvuP
the bride,bat for lashes,5.0,2016-07-22,7.6,0.0,cameron cook,2016-07-05,0FOJVGWk7r4QKYCP1hCCEq
the budos band iii,the budos band,5.0,2010-08-10,7.6,0.0,nate patrin,2010-08-18,4wGhy77LCdzpd7bdUiwQFN
the children of the night,tribulation,7.0,2015-04-26,8.4,0.0,grayson haver currin,2015-04-21,4whOD3w1OmMhEcv54ai3Ju
the church,mr. oizo,7.0,2014-11-25,4.9,0.0,jonah bromwich,2014-12-04,6YYnH1VSNSUAcYH20Ue1Ec
the colour in anything,james blake,5.0,2016-05-12,8.2,1.0,kevin lozano,2016-05-10,1WyrGCkFDlH1xPadZ5qTkL
the dream is over,pup,6.0,2016-05-30,7.8,0.0,ian cohen,2016-05-30,0nOAue4UAgOJMLroZc4aTL
the endless river,pink floyd,6.0,2014-11-20,5.7,0.0,stephen m. deusner,2014-11-13,0yU7VItpGPmPcvKmwLg0JT
the english riviera,metronomy,7.0,2011-04-18,6.4,0.0,joshua love,2011-04-19,716fnrS2qXChPC3J2X73pK
the epic,kamasi washington,9.0,2015-05-05,8.6,1.0,seth colter walls,2015-05-08,2j2q2ySuVk43eHB8wI5XQj
the expanding flower planet,deradoorian,6.0,2015-09-01,8.0,0.0,philip sherburne,2015-08-20,10e1mx1PykreNOn02pFjIU
the fall,gorillaz,5.0,2010-12-28,5.8,0.0,stephen m. deusner,2011-01-06,5jJGGsAztgUEXUHHZ2zrah
the fool,warpaint,6.0,2010-10-25,7.2,0.0,ryan dombal,2010-10-29,2f9bZWVlaffKuG8YmUuIIz
the getaway,red hot chili peppers,5.0,2016-06-28,5.4,0.0,zoe camp,2016-06-20,43otFXrY0bgaq5fB3GrZj6
the ghosts of highway 20,lucinda williams,6.0,2016-02-12,8.0,0.0,grayson haver currin,2016-02-01,7K6EzecV6Qsaw0Enfx1Dcw
the glowing man,swans,9.0,2016-06-24,8.1,0.0,saby reyes-kulkarni,2016-06-21,0YMjf2pmkQipEkdHn4KIzf
the golden age of apocalypse,thundercat,8.0,2011-09-08,8.1,0.0,jess harvell,2011-09-02,6pCLvgEb0INbO0WaN2Byyw
the haunted man,bat for lashes,7.0,2012-11-08,8.4,1.0,marc hogan,2012-10-22,5oGnsIdK6MNnm2OEHnOG4Z
the healing component,mick jenkins,5.0,2016-09-28,7.6,0.0,dean van nguyen,2016-09-28,2IjEb3Ob7GHEpLwSgaWJiX
the hope six demolition project,pj harvey,7.0,2016-04-18,7.6,0.0,laura snapes,2016-04-14,1Un5JM2tnlI7I9GBgylutb
the horror,pop. 1280,7.0,2012-01-26,7.5,0.0,stuart berman,2012-02-03,5qPG7wFPe9MtC7NRyNvoku
the hunter,mastodon,5.0,2011-09-28,7.5,0.0,brandon stosuy,2011-09-30,5Zjhls03el4wXkmtcZEi8b
the impossible kid,aesop rock,8.0,2016-05-06,8.2,0.0,sheldon pearce,2016-05-04,6D6v19wYlLDsYkkfebOY3g
the incredible true story,logic,6.0,2015-11-17,6.1,0.0,julian kimble,2015-11-18,5dOpbgAmJeyoakKQ0QLWkR
the inheritors,james holden,7.0,2013-07-10,8.2,0.0,andrew gaerig,2013-07-02,1cyyJp2x73H6a5buSo0SvR
the king is dead,the decemberists,4.0,2011-01-26,7.2,0.0,amanda petrusich,2011-01-17,3hd8GiXOy4KUTxVDVUDT5F
the king of limbs,radiohead,6.0,2011-02-20,7.9,0.0,mark pytlik,2011-02-24,3P17levwUPzmFfLYdAK3A7
the life of pablo,kanye west,6.0,2016-02-15,9.0,1.0,jayson greene,2016-02-15,7gsWAHLeT0w7es6FofOXk1
the lion's roar,first aid kit,7.0,2012-01-19,7.6,0.0,rachael maddux,2012-01-24,4lGoWk8cIXWrvGFm9Ksy4x
the magic,deerhoof,7.0,2016-07-11,6.9,0.0,benjamin scheim,2016-06-29,5jr5bZ77lNRwoDXyQLbEjp
the magic whip,blur,7.0,2015-05-01,7.0,0.0,craig jenkins,2015-04-28,5xXVH18zf3cRPqoe8LmQW2
the man who died in his boat,grouper,7.0,2013-02-16,8.3,1.0,mark richardson,2013-02-01,2arK6QEmfa25k2feNozs9e
the miraculous,anna von hausswolff,6.0,2015-11-19,7.8,0.0,zoe camp,2015-11-17,2hBtS7GqTXKbQNRlpYMIaD
the money store,death grips,10.0,2012-04-20,8.7,1.0,jayson greene,2012-04-24,1PQDjdBpHPikAodJqjzm6a
the most lamentable tragedy,titus andronicus,4.0,2015-07-30,8.1,0.0,jeremy gordon,2015-07-27,2Mj8ihuIen0pqYKteVTlzB
the north borders,bonobo,6.0,2013-03-27,6.0,0.0,ruth saxelby,2013-04-12,343LOP7AV1WrvUON3J4xia
the odds,the evens,8.0,2012-11-22,8.0,0.0,douglas wolk,2012-11-19,3iqK0TuZ8YTknYc4Cf0YwK
the only place,best coast,3.0,2012-05-22,6.2,0.0,mark richardson,2012-05-16,6fEaHPFPcdyUL14XpGP5KN
the people's record,club 8,5.0,2010-07-05,6.2,0.0,matthew perpetua,2010-05-17,3g74asDQfwMZcENKlT6nhP
the physical world,death from above 1979,6.0,2014-09-10,7.0,0.0,jason heller,2014-09-11,22sYnou2SavBZHHFVUTmWs
the rip tide,beirut,6.0,2011-08-08,7.7,0.0,larry fitzmaurice,2011-08-08,3DsGGsX4QSu85yWd7lBeqi
the satanist,behemoth,9.0,2014-02-11,8.2,0.0,grayson haver currin,2014-02-26,1I1ac81SctTWwGxLkya5vf
the suburbs,arcade fire,8.0,2010-07-29,8.6,1.0,ian cohen,2010-08-02,3DrgM5X3yX1JP1liNLAOHI
the things we do to find people who feel like us,beach slang,7.0,2015-12-16,8.0,0.0,ian cohen,2015-11-05,3YIO1RBJiQoGLimgK6XisN
the underground resistance,darkthrone,6.0,2013-03-01,7.4,0.0,grayson currin,2013-02-25,2GbdKYnwbDn7KV37EcVQN1
the unnatural world,have a nice life,8.0,2014-01-28,7.8,0.0,jason heller,2014-02-06,3fGQCe3TEdboL5RSVFuvRI
the way out,the books,9.0,2010-07-19,7.7,0.0,chris dahlen,2010-07-20,3Ht9pevRimaOYARTDXXWcr
the wilderness,explosions in the sky,4.0,2016-04-07,8.0,0.0,brandon stosuy,2016-03-28,7suYfomZDnOVT8O41cMTha
there's no leaving now,the tallest man on earth,8.0,2012-06-11,7.1,0.0,lindsay zoladz,2012-06-12,6Voznuxp5917IwIlLxSAik
these days...,ab-soul,5.0,2014-06-25,7.7,0.0,jayson greene,2014-06-26,021zMZKO2pUA3yoUQFW2uy
they want my soul,spoon,7.0,2014-08-07,8.6,1.0,ryan dombal,2014-08-04,2qGq0iQFEjrcDprsd7QSFx
this is all yours,alt-j,7.0,2014-10-15,4.0,0.0,ian cohen,2014-09-23,4oktVvRuO1In9B7Hz0xm0a
this is happening,lcd soundsystem,9.0,2010-05-17,9.2,1.0,ryan dombal,2010-05-17,3PupRy8XYrSEmTF5t4QwMD
this is my hand,my brightest diamond,7.0,2014-10-17,7.0,0.0,eric torres,2014-09-15,63RbFKUdpvWwaRcDGU2Piv
this world is not enough,marching church,6.0,2015-04-23,5.6,0.0,zach kelly,2015-04-06,6cqJodXQ59ePX0SwpRaiK9
tierra y libertad,xibalba,6.0,2015-01-30,7.6,0.0,andy o'connor,2015-01-29,0A4FDgaIHNwVoh0rgFeduI
time & materials,cavanaugh,6.0,2015-12-11,7.2,0.0,nate patrin,2015-11-19,1w45MHkIWXi1Nw90H81zhb
time to die,electric wizard,5.0,2014-10-15,7.9,0.0,kim kelly,2014-10-01,0Wog8ZTHQGjngwsB0d7Ueo
to pimp a butterfly,kendrick lamar,10.0,2015-03-18,9.3,1.0,craig jenkins,2015-03-19,76cek8jEdNsxH60aUu8Qtj
together,the new pornographers,7.0,2010-05-13,7.3,0.0,matthew perpetua,2010-05-05,5xB1vlldYNgaPU9HGBmr4x
tomboy,panda bear,5.0,2011-04-06,8.5,1.0,jess harvell,2011-04-11,1dxMK0PJZ9RyarNPXQQeeP
tomorrow's harvest,boards of canada,6.0,2013-06-12,8.3,1.0,mark richardson,2013-06-10,159ORixBSSemxiualv1Woj
tomorrow's modern boxes,thom yorke,6.0,2014-10-04,6.3,0.0,larry fitzmaurice,2014-10-01,48mLH4Pm2BErDEQC7YT1xW
too,fidlar,4.0,2015-09-11,5.8,0.0,zach kelly,2015-09-11,5AX8bgXH4KsIiOOXs4wyB6
too bright,perfume genius,8.0,2014-10-03,8.5,1.0,brandon stosuy,2014-09-23,0GUt4wobSQLDCfDM4AEc31
total life forever,foals,4.0,2010-06-12,7.6,0.0,david bevan,2010-05-20,5Vtuv8sBTytGJ1YdYWfmko
total loss,how to dress well,6.0,2012-09-21,8.4,1.0,ian cohen,2012-09-20,1HYA1ULm5swzoFO6oBHsns
tramp,sharon van etten,7.0,2012-02-09,7.9,0.0,rachael maddux,2012-01-31,1StZHZ13mdQcQPG8QQjndF
transcendental youth,the mountain goats,7.0,2012-10-10,7.8,0.0,lindsay zoladz,2012-10-02,2vMDT0w6SmVWmQESF9Hj5Y
transgender dysphoria blues,against me!,5.0,2014-01-21,7.5,0.0,jeremy d. larson,2014-01-24,4MuH5XuLZFuDc6kB2CSapu
transit transit,autolux,6.0,2010-08-12,5.4,0.0,ian cohen,2010-08-10,38wsYo0RLncPj1U2vCQr3M
trap lord,a$ap ferg,7.0,2013-08-28,7.5,0.0,corban goble,2013-08-22,3smlfAmejcKMmAPg1G2Kki
treats,sleigh bells,3.0,2010-05-19,8.7,1.0,mark richardson,2010-05-14,1IWkF6zpOq73txmrYpljIT
tripper,hella,6.0,2011-09-01,6.0,0.0,aaron leitko,2011-09-12,0hO63UQyDQqhPTip3rZyaL
trouble in paradise,la roux,8.0,2014-07-21,6.5,0.0,mike powell,2014-07-23,5RDoYTf4YYNQby1ECCwR2C
trouble will find me,the national,4.0,2013-05-21,8.4,1.0,ian cohen,2013-05-21,4OI9hKTm1QMRQunqHCfSSL
true romance,charli xcx,3.0,2013-05-13,8.3,1.0,marc hogan,2013-04-25,5t7Bn5XfE7yj2rqydVq0Ue
turn blue,the black keys,4.0,2014-05-14,5.8,0.0,larry fitzmaurice,2014-05-13,6TvxpBzf9c8H1fsrAaQ8t3
ufabulum,squarepusher,6.0,2012-05-15,6.3,0.0,jess harvell,2012-05-18,3NrmqdqrCUNkMMrwtcPsd5
ultima ii massage,tobacco,8.0,2014-05-23,6.9,0.0,jonah bromwich,2014-05-21,4BBxAB26ofkXvBmlatzTpW
ultimate care ii,matmos,8.0,2016-02-25,7.8,0.0,chris randle,2016-02-18,6rUhZEo1ZpJTAc5ssoa0ju
ultraviolence,lana del rey,2.0,2014-06-16,7.1,0.0,mark richardson,2014-06-16,78KtSyGocoTvmcgw1lUHp4
universal themes,sun kil moon,6.0,2015-06-09,6.0,0.0,mark richardson,2015-06-10,1cTJKxncIe5kVOn4dz8D5S
unknown memory,yung lean,4.0,2014-09-22,3.6,0.0,jonah bromwich,2014-09-24,2tKxjvmkxcMWzVmNhsaX02
unknown rooms: a collection of acoustic songs,chelsea wolfe,7.0,2012-10-26,7.7,0.0,jayson greene,2012-10-17,6CL2rdgPpUEXwWsNjexAZ5
unlearn,fergus & geronimo,8.0,2011-01-21,7.2,0.0,larry fitzmaurice,2011-01-24,7K5a4JPaeI7zE2JfQ6BTUk
unsound,mission of burma,6.0,2012-07-20,7.7,0.0,marc masters,2012-07-11,4LY0WgnGiRhhfVJYO4tyKO
until the quiet comes,flying lotus,7.0,2012-09-29,8.5,1.0,mark richardson,2012-10-01,40aG9ahuLnAv96yoFG75Uy
v,wavves,4.0,2015-10-07,6.5,0.0,jeremy gordon,2015-10-05,592d2gtYO83FF8awSzrQZE
vapor city,machinedrum,7.0,2013-09-23,7.8,0.0,nate patrin,2013-10-01,52sjzzH6KtuhXi1jEc3LVx
vega intl. night school,neon indian,7.0,2015-10-20,8.6,1.0,ian cohen,2015-10-14,3z8uIq595pU83Mms7r8w2d
vertikal,cult of luna,5.0,2013-01-21,6.8,0.0,grayson currin,2013-02-11,42gzKaEcCeqH0QaC2gEutv
views,drake,4.0,2016-05-02,6.8,0.0,ryan dombal,2016-05-02,40GMAhriYJRO1rsY4YdrZb
virgins,tim hecker,9.0,2013-10-16,8.3,1.0,mike powell,2013-10-15,2v5w7kFTvULw4d5jHtWhA6
visions,grimes,5.0,2012-02-20,8.5,1.0,lindsay zoladz,2012-02-17,55MRQXZHjldacWC1UamkDX
w,planningtorock,2.0,2011-06-04,6.7,0.0,matthew perpetua,2011-06-03,6DPXvriqJ4VDj3roPdeCZD
w h o k i l l,tune-yards,7.0,2011-04-21,8.8,1.0,matthew perpetua,2011-04-18,6I47QKFJZxYxsyaL50P1lJ
waiting for something to happen,veronica falls,6.0,2013-02-13,7.5,0.0,lindsay zoladz,2013-02-12,3jtvAZXAzNnEMrAsRAr1lJ
wakin on a pretty daze,kurt vile,8.0,2013-04-19,8.5,1.0,jayson greene,2013-04-10,3BSEZLnzVW6QEX12wcKdFi
want,wreck and reference,6.0,2014-07-07,7.7,0.0,andy o'connor,2014-07-17,23hEE9bNc75jFSqUKtMgPO
watching movies with the sound off,mac miller,6.0,2013-06-22,7.0,0.0,craig jenkins,2013-06-24,3ZNMAkjR6M4T0r6Of6jC08
wave[s],mick jenkins,6.0,2015-08-17,7.6,0.0,david drake,2015-08-21,5yXvXFTwuqoAHFuPeliqvZ
we are the 21st century ambassadors of peace & magic,foxygen,8.0,2013-01-16,8.4,1.0,jayson greene,2013-01-22,7FfiN9ztbjLNPWhuhFHaWf
we got it from here... thank you 4 your service,a tribe called quest,9.0,2016-11-21,9.0,1.0,kris ex,2016-11-17,3WvQpufOsPzkZvcSuynCf3
what did you expect from the vaccines?,the vaccines,6.0,2011-04-08,6.2,0.0,marc hogan,2011-05-31,2T0iwqVWzr4Y63x4kKO5DW
what for?,toro y moi,7.0,2015-04-24,6.6,0.0,ian cohen,2015-04-07,6FcMzi4xflGDLfFXRkOLes
what went down,foals,5.0,2015-09-03,6.7,0.0,ian cohen,2015-09-02,0RyCpIKlCV0kgEuzrmp73O
when fish ride bicycles,the cool kids,4.0,2011-07-19,6.9,0.0,tom breihan,2011-07-19,1YIRFdYud9ZmUo4PG5cOqU
when it's dark out,g-eazy,4.0,2015-12-11,6.7,0.0,sheldon pearce,2015-12-10,09Q3WwGYsQe5ognkvVkmCu
white men are black men too,young fathers,8.0,2015-04-07,6.8,0.0,jia tolentino,2015-04-09,3xtwcBeltPMO0I4PnDfV0k
white wilderness,john vanderslice,6.0,2011-02-03,7.2,0.0,joe tangari,2011-01-28,4yxFUmKjbvpDKyGiRu4Bx3
white women,chromeo,5.0,2014-05-22,7.6,0.0,jordan sargent,2014-05-14,1rqJZhedmCFNbaoTRQz9Zj
why do the heathen rage?,the soft pink truth,7.0,2014-06-23,8.2,0.0,grayson haver currin,2014-06-20,7uNcmjJCceIIO3N4qH6q4L
widowmaker,dragged into sunlight,6.0,2012-12-05,6.2,0.0,grayson currin,2012-12-03,2V5dCeetUDfMJdQH0ExA32
wild smile,suckers,7.0,2010-06-08,7.7,0.0,david bevan,2010-06-14,0QZIMRFiqQFoNbznS5enkn
wild water kingdom,heems,5.0,2012-11-29,7.2,0.0,jonah bromwich,2012-11-20,5GOo2Xk33SMeP05fZZirfz
wilderness heart,black mountain,6.0,2010-09-21,7.4,0.0,stuart berman,2010-09-09,19zI1pAARSE3rV72vWX9Ak
wildflower,the avalanches,7.0,2016-07-08,8.5,1.0,mark richardson,2016-07-08,0j0djiGxLnBiW7meVc2PER
