title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id
(iii),crystal castles,4.0,2012-11-13,8.0,0.0,ian cohen,2012-11-12,1NIfkZIYVAO6vnfmFOilHc
...and then you shoot your cousin,the roots,4.0,2014-05-23,7.2,0.0,jayson greene,2014-05-23,6kYqws8vRcaUKTjFnJRb4X
1999,joey bada$$,7.0,2012-06-18,8.0,0.0,felipe delerme,2012-06-26,5ra51AaWF3iVebyhlZ1aqq
2,mac demarco,6.0,2012-10-30,8.2,1.0,sam hockley-smith,2012-10-31,0Skv3s5A99n7dstiJOs0aA
2014 forest hills drive,j. cole,6.0,2014-12-08,6.9,0.0,craig jenkins,2014-12-11,0UMMIkurRUmkruZ3KGBLtG
"22, a million",bon iver,5.0,2016-10-04,9.0,1.0,amanda petrusich,2016-09-30,4bJCKmpKgti10f3ltz6LLl
24k magic,bruno mars,7.0,2016-11-22,6.2,0.0,katherine st. asaph,2016-12-02,4PgleR09JVnm3zY1fW3XBA
25,adele,7.0,2015-11-23,7.3,0.0,amanda petrusich,2015-11-23,3AvPX1B1HiFROvYjLb5Qwi
3001: a laced odyssey,flatbush zombies,6.0,2016-03-15,7.2,0.0,kathy iandoli,2016-03-16,4Qohh8LwXoV7ucmjCU4MYL
36 seasons,ghostface killah,5.0,2014-12-07,6.0,0.0,ian cohen,2014-12-10,2MNtOTfhYOxIw5xWEQHUvZ
4 your eyez only,j. cole,6.0,2016-12-12,6.7,0.0,paul a. thompson,2016-12-14,3CCnGldVQ90c26aFATC1PW
50 words for snow,kate bush,7.0,2011-11-22,8.5,1.0,ryan dombal,2011-11-21,1sFrZZRJfBb3QHfcIgaRUP
6 feet beneath the moon,king krule,7.0,2013-08-29,7.3,0.0,jayson greene,2013-08-29,6uvdXVgHsioxRIo0cFnkD7
90059,jay rock,6.0,2015-09-15,8.0,0.0,craig jenkins,2015-10-01,1fsvlnonD95p6VTEdQ7zJn
93 million miles,africa hitech,8.0,2011-08-21,8.2,0.0,hari ashurst,2011-05-16,6If5OaFCWaoPUEdoUUIeWA
99.9%,kaytranada,6.0,2016-05-19,8.0,0.0,jonah bromwich,2016-05-13,6JD4Qerb8IcaAzFgpFw0sa
a head full of dreams,coldplay,5.0,2015-12-10,4.8,0.0,stuart berman,2015-12-04,3cfAM8b8KqJRoIzt3zLKqw
a moon shaped pool,radiohead,8.0,2016-05-10,9.1,1.0,jayson greene,2016-05-11,2ix8vWvvSp2Yo7rKMiWpkg
a new place 2 drown,archy marshall,4.0,2015-12-14,8.6,1.0,jayson greene,2015-12-11,74YcGj6qapwglRZqlY6bzL
a sailor's guide to earth,sturgill simpson,8.0,2016-04-26,8.0,0.0,corban goble,2016-04-19,5I3UdCxtIh6hkQ7rMPUvA4
a seat at the table,solange,8.0,2016-10-12,8.7,1.0,julianne escobedo shepherd,2016-10-05,3Yko2SxDk4hc6fncIBQlcM
a u r o r a,ben frost,5.0,2014-06-06,8.5,1.0,brandon stosuy,2014-05-30,6BNTT1PhboEhAW4Tsphx3e
a weird exits,thee oh sees,8.0,2016-08-19,7.5,0.0,stuart berman,2016-08-12,2c49IwWfBsMlrLSsyzPoBf
a world lit only by fire,godflesh,7.0,2014-10-18,8.0,0.0,jason heller,2014-10-06,1UbMFz1E6gcjrIvqohXoBk
aa,baauer,6.0,2016-03-22,7.3,0.0,jonah bromwich,2016-03-23,0BSElBH4VQnNOiTW4zNRO4
abandon all life,nails,7.0,2013-03-20,8.0,0.0,brandon stosuy,2013-04-04,0HCZqugYM0BJmzsJJs5Mb5
abyss,chelsea wolfe,8.0,2015-08-10,8.1,0.0,brandon stosuy,2015-08-07,7bDxnaImZCM2TJbsI1gMVi
abzu,absu,8.0,2011-10-19,7.4,0.0,grayson currin,2011-10-11,1esQITow8cGQZqn1XtNRrK
acid rap,chance the rapper,6.0,2013-05-07,8.4,1.0,jeff weiss,2013-05-07,2VBcztE58pBKjIDS5oEgFh
acousmatic sorcery,willis earl beal,4.0,2012-04-09,7.2,0.0,mark richardson,2012-04-02,3bq3v9Fp24GXbSQcOYpAuj
adore life,savages,6.0,2016-01-22,8.0,0.0,brandon stosuy,2016-01-18,2UutOV48eYbIPB6keWOqoP
aesthethica,liturgy,8.0,2011-05-12,8.3,0.0,jayson greene,2011-05-13,4qutu7PdlUa7ZdYzsXI1EW
afraid of heights,wavves,6.0,2013-04-01,7.8,0.0,larry fitzmaurice,2013-03-26,7tbCuIt9zm1fRQyH2berwK
album of the year,black milk,4.0,2010-09-20,7.5,0.0,nate patrin,2010-09-15,2ZQedN95ddF8NpF2t7DGhn
aleph,gesaffelstein,5.0,2013-12-09,7.8,0.0,jamieson cox,2013-11-08,3MiiF9utmtGnLVITgl0JP7
all eternals deck,the mountain goats,8.0,2011-03-01,8.1,0.0,grayson currin,2011-03-28,2owrP2lU6hfC5sffrloIc0
all love's legal,planningtorock,10.0,2014-04-01,7.5,0.0,jessica suarez,2014-02-14,0Cc7BlKV0vZnGPx0fAFqY7
all things will unwind,my brightest diamond,6.0,2011-11-06,6.5,0.0,amanda petrusich,2011-10-19,3yymXzDoa1lX5UvhMTSYZd
all we need,raury,5.0,2015-10-24,6.8,0.0,sheldon pearce,2015-10-16,5UOaWbjsdPwjPzzQbCGPWl
alone together,karriem riggins,8.0,2012-10-23,7.8,0.0,jonah bromwich,2012-11-09,3Z295aI1J54wiMXVkj21wu
always strive and prosper,a$ap ferg,2.0,2016-04-26,7.3,0.0,kathy iandoli,2016-04-26,2h5LDCGJCWUyaoEXQZHky6
am,arctic monkeys,3.0,2013-09-08,8.0,0.0,ryan dombal,2013-09-11,78bpIziExqiI9qztvNFlQu
america,dan deacon,5.0,2012-09-07,7.1,0.0,jess harvell,2012-08-30,0zoMcjh0JGi1tb53kKr49e
americana,neil young,7.0,2012-06-06,6.1,0.0,stuart berman,2012-06-01,1VfoJdwAjt5vbcg8TuczNY
amnesty (i),crystal castles,4.0,2016-08-24,6.8,0.0,evan rytlewski,2016-08-30,03CgI5yzuOcyRkkDOyCazP
amok,atoms for peace,7.0,2013-02-26,6.9,0.0,stuart berman,2013-02-25,77Ie9frENeQwYUGHrrS0pk
an awesome wave,alt-j,8.0,2012-10-05,4.8,0.0,laura snapes,2012-09-28,6k3vC8nep1BfqAIJ81L6OL
an object,no age,6.0,2013-08-17,6.2,0.0,ian cohen,2013-08-20,1d5SkzRqi6YjMljh4f3gWb
anchor,zammuto,6.0,2014-09-01,5.1,0.0,larry fitzmaurice,2014-09-05,4iP9V87AekuxNCddqN1oH2
angel guts: red classroom,xiu xiu,7.0,2014-02-18,6.6,0.0,ian cohen,2014-02-05,7nox0SRTfTyUKyfbNusbbN
angles,the strokes,7.0,2011-03-24,5.9,0.0,ryan dombal,2011-03-21,6Jx4cGhWHewTcfKDJKguBQ
annabel dream reader,the wytches,8.0,2014-12-05,5.8,0.0,jason heller,2014-08-27,2F9zOHHom6ADDZEeGyDPga
another eternity,purity ring,4.0,2015-03-31,6.6,0.0,ian cohen,2015-03-02,28dGCkeoBowoDG6ePFSuYd
another one,mac demarco,7.0,2015-07-31,7.3,0.0,jeremy gordon,2015-08-04,5FiDVzxLqGtYjF5yzmMoj4
anthems for doomed youth,the libertines,6.0,2015-09-16,7.7,0.0,laura snapes,2015-09-07,6Bzm5G8D3k0BBnj4H8rEpC
anti,rihanna,4.0,2016-02-01,7.7,0.0,amanda petrusich,2016-02-01,48i37aZTC1prDr4EcpQeEa
apocalypse,bill callahan,6.0,2011-04-25,8.0,0.0,mike powell,2011-04-13,13VVtuvboNAaPFcKsQsjLP
apocalypse,thundercat,3.0,2013-06-10,8.2,0.0,nate patrin,2013-06-07,2qqVy8a4qk9FCt00hal9vl
apollo kids,ghostface killah,8.0,2010-12-21,7.3,0.0,ian cohen,2011-01-03,3hPl7uRfNdRvoRW0kUzkVk
ardipithecus,willow,3.0,2015-12-18,5.8,0.0,cameron cook,2016-01-07,0oFPwpDPEsrIYoeGZLFQUv
ardour,teebs,6.0,2010-11-12,8.0,0.0,nate patrin,2010-11-09,6Fi4WPOqh5JAzLe2m1Dg3T
are we there,sharon van etten,6.0,2014-05-29,8.2,0.0,stephen m. deusner,2014-05-27,6EQWzHbd3EYO8J4EAIJst4
art angels,grimes,7.0,2015-11-09,8.5,1.0,jessica hopper,2015-11-10,1t9k2P4C88alWEikeJb4mI
"asunder, sweet and other distress",godspeed you! black emperor,6.0,2015-03-25,7.6,0.0,mark richardson,2015-04-01,5PafRMGGWCTcsrnutA2ZIX
at echo lake,woods,8.0,2010-05-12,8.0,0.0,rob mitchum,2010-05-10,45YGCEh09Ji6rdHjPgNdw8
atlas,real estate,3.0,2014-03-11,8.8,1.0,jayson greene,2014-03-03,5k7WCAZPSbJYzjW5SCQ5sn
atrocity exhibition,danny brown,9.0,2016-09-30,8.5,1.0,matthew ramirez,2016-10-03,5pjvBM0oPH7RNcgPKxIJmR
aureate gloom,of montreal,6.0,2015-03-16,7.0,0.0,jeremy d. larson,2015-03-04,0srjjj6eDgNMZRLppF2T11
autumn eternal,panopticon,8.0,2015-11-05,7.5,0.0,saby reyes-kulkarni,2015-10-20,32lW13bcC2gaiS7Zke8rVw
awake,tycho,6.0,2014-03-23,7.0,0.0,nick neyland,2014-03-18,0GjrPTT00KWsalUi8jnpR9
awe naturale,theesatisfaction,8.0,2012-03-26,7.5,0.0,carrie battan,2012-03-29,5Tc8E8lvxZTCliGTua3fr1
b4.da.$$,joey bada$$,8.0,2015-01-20,7.0,0.0,nate patrin,2015-02-03,1rJXQEZ5DnUalRSPB3R0WO
baby,white hinterland,8.0,2014-04-03,7.2,0.0,paula mejia,2014-04-04,1KsomaqFpRZYopWw8sR7Pv
bad vibes,shlohmo,7.0,2011-09-02,7.8,0.0,nate patrin,2011-08-11,5KRR8tyAUT6bcMOsCfM2Lh
bankrupt!,phoenix,5.0,2013-05-09,7.5,0.0,stuart berman,2013-04-22,1s7a0VpP3aNEubiTgx6YlU
beach music,alex g,6.0,2015-10-14,7.2,0.0,pat healy,2015-10-08,0aABjw7BY2iRsK4ZdkwSjF
beams,matthew dear,8.0,2012-08-27,7.3,0.0,larry fitzmaurice,2012-08-28,7xSbqF9ZBsea0W8YFIUn1f
beat the champ,the mountain goats,8.0,2015-04-17,6.6,0.0,jeremy gordon,2015-04-06,4i54Kl9bCNCVJeeflih1rB
beautiful rewind,four tet,7.0,2013-11-05,7.4,0.0,andrew gaerig,2013-10-17,7gN7gWms3Uz0GLLtLYHybk
beauty behind the madness,the weeknd,5.0,2015-08-26,7.2,0.0,andrew ryce,2015-09-02,36yJ6fcaSCVsK1tybnNizj
because the internet,childish gambino,5.0,2013-12-10,5.8,0.0,craig jenkins,2013-12-12,4GNIhgEGXzWGAefgN5qjdU
becoming a jackal,villagers,6.0,2010-06-16,6.9,0.0,marc hogan,2010-06-11,7iv57BJ8hQM3Zo8wfZ65Nx
before a million universes,big ups,8.0,2016-03-04,7.6,0.0,quinn moreland,2016-03-11,5LPWhNZysA8WXaBCmaHspR
belong,the pains of being pure at heart,8.0,2011-03-26,8.2,1.0,ian cohen,2011-04-01,07XfK9e1xTp1zmBSUWLIgz
bend beyond,woods,7.0,2012-09-17,8.1,0.0,steven hyden,2012-09-18,5CMHNfabEoFCjYPIosFcSR
benji,sun kil moon,9.0,2014-02-20,9.2,1.0,ian cohen,2014-02-03,2y2QZ4uDpzoZHgH2il5Ktu
bestial burden,pharmakon,5.0,2014-10-31,8.4,1.0,larry fitzmaurice,2014-10-15,6BejmDVPKDJkpoyYjmGXeN
beyond the fleeting gales,crying,8.0,2016-10-21,7.1,0.0,colin joyce,2016-10-26,4JjJcCjI0a7uVGmQZZyRAZ
birds in the trap sing mcknight,travis scott,3.0,2016-09-07,7.2,0.0,matthew strauss,2016-09-08,42WVQWuf1teDysXiOupIZt
bish bosch,scott walker,7.0,2012-12-04,8.0,0.0,mike powell,2012-12-03,4oWUnRY3vid51jMl8oXKtE
black america again,common,5.0,2016-12-07,7.9,0.0,edwin stats houghton,2016-11-04,2DTbGcv40CSMW0P4yAQQBa
black city,matthew dear,7.0,2010-10-24,8.4,1.0,joe colly,2010-08-13,3URWHvduHqKfb2l7kXIdoN
black metal,dean blunt,8.0,2014-11-12,7.3,0.0,colin joyce,2014-11-17,7JFr7lrgJY7PdXuQV6L1SG
black terry cat,xenia rubinos,8.0,2016-06-11,8.0,0.0,laura snapes,2016-06-08,7hpaJ75FV7MYcKER1px2Uv
black up,shabazz palaces,8.0,2011-06-28,8.8,1.0,eric grandy,2011-06-27,2dNexssEWbK7rgh0veTjjz
blackenedwhite,mellowhype,6.0,2011-07-28,8.1,0.0,tom breihan,2010-11-12,5TiOZAl59VAsAfL3hvJo49
blade of the ronin,cannibal ox,5.0,2015-03-04,6.7,0.0,winston cook-wilson,2015-03-10,7kK6lPyKV0bWiRHyGwmabF
blissfucker,trap them,5.0,2014-06-10,7.3,0.0,jason heller,2014-06-27,4UvIV3bGAXNEfTzJp1Wl5w
blonde,frank ocean,8.0,2016-08-23,9.0,1.0,ryan dombal,2016-08-25,3mH6qwIy9crq0I9YQbOuDf
blood,lianne la havas,8.0,2015-08-05,7.7,0.0,hannah giorgis,2015-07-28,0OyUgwL97FT5MWpBLqL6br
blood for the master,goatwhore,7.0,2012-02-17,4.8,0.0,grayson currin,2012-02-22,3pcqyG46XxOrZb2rAyIdpm
blood pressures,the kills,4.0,2011-04-22,6.4,0.0,stuart berman,2011-04-06,0PjRCiXdp6TQPXojFRB0AX
bloom,beach house,8.0,2012-05-14,9.1,1.0,lindsay zoladz,2012-05-14,0AL7olZ75pi55q9p1eHaD8
blue,iamamiwhoami,6.0,2014-11-16,6.1,0.0,sasha geffen,2014-11-17,0mECQjDNmBl1vThYWBQX5D
blue slide park,mac miller,5.0,2011-11-18,1.0,0.0,jordan sargent,2011-12-08,6VhDYmsjHqRxKXd0z7hmXI
blue suicide,coma cinema,7.0,2011-05-27,7.2,0.0,zach kelly,2011-05-25,5z2CoCLOZfFwqbNzfYCCyB
blunderbuss,jack white,6.0,2012-04-24,7.8,0.0,ryan dombal,2012-04-23,6eSJ0lu0uwtiqXkP7Qrrno
body music,alunageorge,7.0,2013-08-02,7.6,0.0,carrie battan,2013-07-29,22MbdINYz4lQ1Y087qG7YO
book burner,pig destroyer,6.0,2012-10-24,8.0,0.0,jess harvell,2012-10-22,604JFtgeDXfwIRVqZtaCZg
born in the echoes,the chemical brothers,7.0,2015-07-21,7.8,0.0,ryan dombal,2015-07-15,1q0jQYnlRLdaEreh2eagTy
born sinner,j. cole,5.0,2013-06-25,6.0,0.0,corban goble,2013-06-21,6FhFyGMPDbGjXXxXukKcnq
bottomless pit,death grips,9.0,2016-05-09,8.1,0.0,zoe camp,2016-05-12,4dIPUQHheyH9e6ioplvNT2
boy,carla bozulich,8.0,2014-04-21,7.6,0.0,matthew murphy,2014-03-26,1ycMsBf4UtuXp8pZmGVoVn
breakthrough,the gaslamp killer,8.0,2012-09-25,7.7,0.0,nate patrin,2012-09-19,0C6Axf37EzoQtUFEldhc6n
broke with expensive taste,azealia banks,5.0,2014-11-11,8.0,0.0,craig jenkins,2014-11-11,6ptPMZzScoFqSVfzph6m9B
brothers,the black keys,7.0,2010-05-18,7.7,0.0,larry fitzmaurice,2010-05-19,7qE6RXYyz5kj5Tll7mJU0v
built on glass,chet faker,3.0,2014-04-22,7.3,0.0,jake cleland,2014-04-15,2FbRuA1BINXCgNRaHmKbUS
burst apart,the antlers,4.0,2011-05-04,8.2,1.0,ian cohen,2011-05-12,72TZ7r8KGemXg95hq6zyPc
bush,snoop dogg,5.0,2015-05-15,6.5,0.0,julian kimble,2015-05-13,6VCjQZqZ0lhp9wBby3Djfh
business casual,chromeo,9.0,2010-09-15,6.9,0.0,larry fitzmaurice,2010-09-22,0K46GsiLoxvZRfDbhqlUlk
camp,childish gambino,2.0,2011-11-08,1.6,0.0,ian cohen,2011-12-02,32KdoFFhgjCLdU0DWL71tx
carrie & lowell,sufjan stevens,7.0,2015-03-24,9.3,1.0,brandon stosuy,2015-03-30,64xtjfsPHNHch0CZ7fPTjS
celebration rock,japandroids,5.0,2012-06-05,8.8,1.0,ian cohen,2012-05-29,2sY9WYVH022ulyAYaqvXLW
celestial lineage,wolves in the throne room,6.0,2011-09-12,8.6,1.0,brandon stosuy,2011-09-23,3LHSxySCaooKrQxuLtuYSV
celestite,wolves in the throne room,8.0,2014-07-15,4.7,0.0,grayson haver currin,2014-07-10,3CZ1efJZ8G1hDBETkFuoxw
centipede hz,animal collective,6.0,2012-09-05,7.4,0.0,stuart berman,2012-09-04,1XtUILwRT4o8Yyl0m8USSK
cerebral ballzy,cerebral ballzy,3.0,2011-08-11,4.8,0.0,david raposa,2011-09-29,5hGl0kNVr8DKZUMbJqZcES
cerulean,baths,8.0,2010-07-21,8.2,0.0,ian cohen,2010-07-09,207dovplLKyzKkCcopO9Hl
channel orange,frank ocean,7.0,2012-07-11,9.5,1.0,ryan dombal,2012-07-12,392p3shh2jkxUxY2VHvlH8
circuital,my morning jacket,5.0,2011-05-31,7.2,0.0,amanda petrusich,2011-05-31,2ee3xMjrF3jNRAw3FsqwJb
citizen zombie,the pop group,9.0,2015-02-24,2.4,0.0,stephen m. deusner,2015-02-26,1as5fPtHaDlvlvsR5LtdCj
city sun eater in the river of light,woods,7.0,2016-07-12,7.6,0.0,evan rytlewski,2016-04-07,1LGBxdl9JbgEn0cuaVJRUY
clash the truth,beach fossils,8.0,2013-02-20,5.8,0.0,ian cohen,2013-02-18,4qC8mysA680i7chkL3JQQw
clear moon,mount eerie,7.0,2012-05-23,8.3,1.0,jayson greene,2012-05-22,2ax4L3eaLqiQoVtelJm8FJ
clinging to a scheme,the radio dept.,8.0,2010-06-17,8.3,1.0,larry fitzmaurice,2010-04-26,7L8jW9rY040uDZnnIYtSdG
clppng,clipping.,9.0,2014-06-02,5.6,0.0,miles raymer,2014-06-13,4jXGCAzUw7ZEccL3UoIjvT
cobra juicy,black moth super rainbow,5.0,2012-11-01,7.6,0.0,jeff weiss,2012-10-26,2CFZcziJAbNfuwSl4wpsAo
codes and keys,death cab for cutie,7.0,2011-06-02,5.0,0.0,larry fitzmaurice,2011-06-01,26HVbJdxW1zC799gz8yzUr
coexist,the xx,4.0,2012-09-12,7.5,0.0,mark richardson,2012-09-10,4SXTQ305LjMh2DBHA3CXIW
cole world: the sideline story,j. cole,6.0,2011-09-30,6.1,0.0,jayson greene,2011-09-30,0fhmJYVhW0e4i33pCLPA5i
colored sands,gorguts,8.0,2013-09-02,8.2,0.0,hank shteamer,2013-08-26,1qhgbP27HYf4iCiLbquXys
comedown machine,the strokes,5.0,2013-03-21,6.1,0.0,ian cohen,2013-03-25,4WnkQO4xD9ljQooB3VIxCV
confess,twin shadow,5.0,2012-07-10,8.6,1.0,ian cohen,2012-07-06,6qbgnofWMbIjD4X8kYlx1r
control system,ab-soul,8.0,2012-05-16,8.1,0.0,jayson greene,2012-06-05,26RLXRJA7aOOffZJGjUaSW
cosmogramma,flying lotus,8.0,2010-05-05,8.8,1.0,joe colly,2010-05-06,5c7XChrHxYaqykCZLaGM5f
crazy clown time,david lynch,5.0,2011-11-08,6.1,0.0,mike powell,2011-11-08,76rTsKTssez67mK7FtdH0X
crazy for you,best coast,5.0,2010-07-26,8.4,1.0,larry fitzmaurice,2010-07-27,7bopw2yiGMnUzXUH1ayvTe
creep on creepin' on,timber timbre,8.0,2011-04-10,6.7,0.0,paul thompson,2011-05-13,3UlogGhdqkb2ymkzNNuDrK
crush,abe vigoda,4.0,2010-10-04,7.8,0.0,marc masters,2010-09-17,5kTf7CvY6ttD513eCfqKPy
cults,cults,4.0,2011-06-26,8.5,1.0,joe tangari,2011-06-06,5j2QDYH0Q6humuM5Ys86eF
cupid deluxe,blood orange,2.0,2013-11-25,8.5,1.0,ryan dombal,2013-11-13,1bsLkHcWAGUao6Z1dHOEIB
currents,tame impala,7.0,2015-07-14,9.3,1.0,ian cohen,2015-07-13,79dL7FLiJFOO0EoehUHQBv
damogen furies,squarepusher,6.0,2015-04-20,7.3,0.0,winston cook-wilson,2015-04-20,0ltizdz0IJilaMxx3LKuPp
dark bird is home,the tallest man on earth,6.0,2015-05-10,6.7,0.0,jeremy d. larson,2015-05-11,1Bz5pzlT3m7uJp1534Ma5V
dark comedy,open mike eagle,8.0,2014-06-24,8.0,0.0,nate patrin,2014-06-20,3hSppPElM044DnIafFTg96
dark red,shlohmo,6.0,2015-04-08,5.9,0.0,jonah bromwich,2015-04-07,0YXO93VbnFFXMf6R5gf729
david comes to life,fucked up,5.0,2011-06-13,8.6,1.0,larry fitzmaurice,2011-06-08,4nQlvOMRy08z0sgT4O4Ihq
days with dr. yen lo,dr. yen lo,6.0,2015-05-25,8.0,0.0,winston cook-wilson,2015-05-26,6LbpxGSlBiby2Un2YMqe36
de vermis mysteriis,high on fire,8.0,2012-04-04,8.2,0.0,brandon stosuy,2012-04-06,2p2JekOEQ4llSWDWLZRhkQ
dealer,foxing,3.0,2015-11-02,7.6,0.0,ian cohen,2015-11-06,7nVLbTV7JrJ5ohUbPjvSlN
death magic,health,5.0,2015-08-17,7.8,0.0,t. cole rachel,2015-08-03,2a5KZ4rwrXIm28LvcyjYz5
depression cherry,beach house,6.0,2015-08-21,8.4,1.0,jayson greene,2015-08-18,5tTmosmyV33wCiwniZc4Qs
devotion,jessie ware,4.0,2012-08-22,8.5,1.0,ryan dombal,2012-08-17,1S0TageSPtTWcZSfdwg67Q
dissed and dismissed,tony molina,7.0,2014-04-05,7.5,0.0,lindsay zoladz,2014-03-25,0M9cDMEpqJgz6V6AynA7Sy
dissociation,the dillinger escape plan,7.0,2016-10-22,6.9,0.0,saby reyes-kulkarni,2016-11-02,6K7w4elSgFuj3x787Zvf1V
do what thou wilt.,ab-soul,7.0,2016-12-13,4.4,0.0,sheldon pearce,2016-12-22,1CEeqK9sKrE7LzUHeT3bfP
does it look like i'm here?,emeralds,6.0,2010-06-26,8.3,1.0,philip sherburne,2010-06-09,69mR7YiwQTw7nvlFKBOp7Y
doris,earl sweatshirt,6.0,2013-08-26,8.3,1.0,craig jenkins,2013-08-19,5vRfIDOPJHy3W2wHWbzLlE
dour candy,billy woods,7.0,2013-07-08,7.8,0.0,nate patrin,2013-08-14,0xNc2ff7Q6CX3wkfZ1iIMO
down there,avey tare,5.0,2010-10-17,7.9,0.0,larry fitzmaurice,2010-10-25,6ttLfw2Z9Wbxu3paarz6h0
dream river,bill callahan,8.0,2013-09-24,8.5,1.0,lindsay zoladz,2013-09-17,6qkzBXQvWjnyNCRDQRPpJ4
dreams worth more than money,meek mill,7.0,2015-07-03,7.4,0.0,matthew ramirez,2015-07-06,2O3OKOYCub892PUGprsaQo
drone logic,daniel avery,8.0,2013-11-19,7.2,0.0,andrew gaerig,2013-10-23,40CBXF9jJwK21mrqlmBr92
drones,muse,5.0,2015-06-10,4.5,0.0,ian cohen,2015-06-09,7iXImlGs9MxR7VTSNkO2Go
dross glop,battles,6.0,2012-04-23,7.8,0.0,laura snapes,2012-04-17,1WSHvpxWbV3DbE6h36jtmu
dude incredible,shellac,6.0,2014-10-07,8.0,0.0,nick neyland,2014-09-19,7xFjG0lq3zXqtc2j1gtf8c
dumb flesh,blanck mass,6.0,2015-05-15,7.6,0.0,nathan reese,2015-05-13,7qcCqfT2FlxsSLR1iTcHIu
dye it blonde,smith westerns,7.0,2011-01-18,8.4,1.0,david bevan,2011-01-18,50edStrds1JJ7521AbxUKv
dynamics,holy ghost!,7.0,2013-09-11,6.3,0.0,nate patrin,2013-09-18,7naUgxnqWl8VGrzKvMeX1Q
dysnomia,dawn of midi,5.0,2013-08-30,7.9,0.0,jeremy d. larson,2013-08-06,4wCpIX2LVk3lZkh4crNPtJ
earthee,theesatisfaction,7.0,2015-02-20,6.8,0.0,safy-hallan farah,2015-02-25,3MOZwEtthWfQToFXFkb00G
eat pray thug,heems,4.0,2015-03-10,6.3,0.0,jayson greene,2015-03-11,6y8FPX1d76PLgTuu2FvFAL
eclipse,twin shadow,3.0,2015-04-13,4.9,0.0,jayson greene,2015-03-20,4MkY7K5eyXl0Ts42KLCyir
ego death,the internet,5.0,2015-07-09,7.4,0.0,craig jenkins,2015-07-09,6VRHTAqFOO5qqznRZ5cUys
eighteen hours of static,big ups,8.0,2014-03-25,7.0,0.0,paul thompson,2014-01-17,2tpHiwd2jLLVR4gi4G8YEI
el camino,the black keys,6.0,2011-12-05,7.4,0.0,rob harvilla,2011-12-02,5DLhV9yOvZ7IxVmljMXtNm
el pintor,interpol,6.0,2014-10-02,5.9,0.0,larry fitzmaurice,2014-09-08,0YAtJCLY8ogFUjdopdHsyS
emotion,carly rae jepsen,7.0,2015-08-24,7.4,0.0,corban goble,2015-08-17,08MsbKas4UJKhbJlAnAyfB
emotional mugger,ty segall,8.0,2016-01-18,7.3,0.0,evan minsker,2016-01-19,5117nxIQNXWAERUh4xQ8A3
entrench,ken mode,7.0,2013-03-26,8.2,0.0,grayson haver currin,2013-03-21,3ggzz5UXOEmmNwcKQj5cXF
epic,sharon van etten,7.0,2010-10-14,7.8,0.0,david bevan,2010-10-07,7mfSdEokzQjI5AxwrRauZv
esoteric warfare,mayhem,7.0,2014-06-12,7.6,0.0,grayson haver currin,2014-06-06,5BLMX09kVilcrVjl6yBCEN
every open eye,chvrches,5.0,2015-10-16,7.7,0.0,ian cohen,2015-09-28,0QNU8SCLBs3HEZsUQfCfy7
everyday robots,damon albarn,5.0,2014-05-07,7.0,0.0,mike powell,2014-04-28,5SzhltQSSi1HUMi5cveZIZ
everything in between,no age,6.0,2010-09-27,8.8,1.0,paul thompson,2010-09-28,39ncHUEk930l1qeRri58IJ
everything will be alright in the end,weezer,7.0,2014-10-16,6.5,0.0,ian cohen,2014-10-02,5bwoCpDhski3iIxwsdgPTM
excavation,the haxan cloak,8.0,2013-05-01,8.7,1.0,nick neyland,2013-04-17,2iMuDUx0AkuUemuFtmhUG1
exhausting fire,kylesa,7.0,2015-11-11,7.4,0.0,brandon stosuy,2015-10-12,5FLIlg8fdg6BU0BHrN1bqB
expo 86,wolf parade,6.0,2010-06-29,7.5,0.0,paul thompson,2010-06-29,16IUCg94zmGIgEz09v003g
face tat,zach hill,5.0,2010-10-20,7.5,0.0,matthew murphy,2010-10-13,4YM04MdeuE7h3mziHsvy9v
fade,yo la tengo,7.0,2013-01-15,8.1,0.0,stuart berman,2013-01-14,4K71YbvB0dq9tfym242YDh
fading frontier,deerhunter,6.0,2015-10-22,8.4,1.0,ian cohen,2015-10-12,7tok2dhbMVrWGgnAaC08QE
faith in strangers,andy stott,7.0,2014-11-26,8.4,1.0,grayson haver currin,2014-11-21,1BzMONuUlgUnqOrg2aQeAY
false priest,of montreal,5.0,2010-09-09,6.7,0.0,rob mitchum,2010-09-15,5SFAreGbKibBApvimb4srL
fantasy empire,lightning bolt,7.0,2015-03-12,8.0,0.0,brandon stosuy,2015-03-18,0Z0aI5ATk4kmQfTSANB0Z1
fashion week,death grips,7.0,2015-01-11,6.6,0.0,nate patrin,2015-01-13,0T0hdMTypoYTFhgk4ugXkN
fetch,melt-banana,9.0,2013-10-12,7.8,0.0,jason heller,2013-10-01,4C8VqFE4h4KWIsbAViqIby
fever,sleepy sun,7.0,2010-06-03,6.1,0.0,grayson currin,2010-06-30,3PmIQlefjUIPlp6bnZgCfH
fever hunting,modern life is war,7.0,2013-08-12,7.9,0.0,ian cohen,2013-09-17,0ongZyanhSd5wuBN294ue3
fires within fires,neurosis,8.0,2016-09-29,7.1,0.0,jason heller,2016-10-06,4Lu4kKYJw7Kb88beZWHla9
floating coffin,thee oh sees,5.0,2013-04-17,8.0,0.0,evan minsker,2013-04-15,6UpdRU3P0AAMA6MVCzsW3c
